metin,kelimeler,departman
"Parklarımızda atık kağıtlar ve sigara izmaritleri çok fazla.Temizlik sıklığı artırılmalı.","['atık kağıtlar','temizlik']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Bilgisayarım ağ bağlantısı sorunuyla karşılaşıyor, yardıma ihtiyacım var.","['ağ bağlantısı']","Bilgi İşlem Dairesi Başkanlığı"

"IT departmanı ile iletişime geçmek istiyorum, nasıl bir yol izlemeliyim?","['IT iletişim']","Bilgi İşlem Dairesi Başkanlığı"

"Belediye sistemlerine giriş yapamıyorum, destek talep ediyorum.","['sistem giriş']","Bilgi İşlem Dairesi Başkanlığı"

"Evin etrafında su baskını var, itfaiye ekipleri gelmeli.","['su baskını','itfaiye']","İtfaiye ve Afet İşleri Dairesi Başkanlığı"

"Acil durumlarda hangi numarayı aramalıyım?","['acil durum']","İtfaiye ve Afet İşleri Dairesi Başkanlığı"

"Yangın tatbikatları ve eğitimleri hakkında bilgi almak istiyorum.","['yangın tatbikatları']","İtfaiye ve Afet İşleri Dairesi Başkanlığı"

"İtfaiye araçlarının bakım ve servisleri hakkında bilgi almak istiyorum.","['itfaiye araçları']","İtfaiye ve Afet İşleri Dairesi Başkanlığı"

"Belediye vergi borcum hakkında detaylı bilgi almak istiyorum.","['vergi']","Mali Hizmetler Dairesi Başkanlığı"

"Faturamda fazla ödeme yapıldığına dair bir hata var, düzeltilmesini talep ediyorum.","['fatura']","Mali Hizmetler Dairesi Başkanlığı"

"Mali yardım başvurusu nasıl yapılır, süreç hakkında bilgi almak istiyorum.","['mali yardım']","Mali Hizmetler Dairesi Başkanlığı"

"Belediyenin mali raporları nasıl elde edilir, bana bilgi verir misiniz?","['mali raporlar']","Mali Hizmetler Dairesi Başkanlığı"

"Ödeme planım hakkında bilgi almak istiyorum, nasıl yardımcı olabilirsiniz?","['ödeme planı']","Mali Hizmetler Dairesi Başkanlığı"

"İş yerimin önündeki izinsiz reklamlar konusunda zabıtadan yardım istiyorum.","['izinsiz reklamlar']","Zabıta Dairesi Başkanlığı"

"Gürültü kirliliği şikayetimi zabıtaya iletmek istiyorum, ne yapmalıyım?","['gürültü kirliliği']","Zabıta Dairesi Başkanlığı"

"Zabıta denetimleri hakkında bilgi almak istiyorum, ne sıklıkla yapılıyor?","['zabıta denetimleri']","Zabıta Dairesi Başkanlığı"

"İş yerimdeki yangın güvenlik önlemleri hakkında denetim yapılmasını talep ediyorum.","['yangın denetimi']","Zabıta Dairesi Başkanlığı"

"Sokak lambaları arızalı, tamir edilmesi gerekiyor.","['sokak lambaları']","Fen İşleri Dairesi Başkanlığı"

"Yol kaplama ve asfalt işleri hakkında bilgi almak istiyorum.","['asfalt işleri','yol kaplama']","Fen İşleri Dairesi Başkanlığı"

"Kaldırımların bakımı yapılmalı, bazı yerlerde büyük çatlaklar var.","['kaldırım bakımı']","Fen İşleri Dairesi Başkanlığı"

"Sokak aydınlatmasıyla ilgili sorunlar yaşanıyor, ne zaman onarılacak?","['sokak aydınlatma']","Fen İşleri Dairesi Başkanlığı"

"İmar planı ile ilgili değişiklik taleplerimi nasıl iletebilirim?","['imar planı']","İmar ve Şehircilik Dairesi Başkanlığı"

"Şehir planlaması hakkında bilgi almak istiyorum, hangi projeler var?","['şehir planlaması']","İmar ve Şehircilik Dairesi Başkanlığı"

"Yeniden yapılanma projeleri hakkında bilgi almak istiyorum.","['yeniden yapılanma']","İmar ve Şehircilik Dairesi Başkanlığı"

"Yeni inşaat izinleri nasıl alınır, süreç nedir?","['inşaat izinleri']","İmar ve Şehircilik Dairesi Başkanlığı"

"Kuzey ilçelerinde yol bakım çalışmaları yetersiz, birçok yol kötü durumda ve ulaşım zorlaşıyor.","['kuzey ilçeleri yol bakım']","Kuzey İlçeleri Dairesi Başkanlığı"

"Kuzey ilçelerinde sosyal hizmetler eksik,özellikle yaşlılar ve engelliler için yeterli destek sunulmuyor.","['kuzey ilçeler sosyal hizmetler']","Kuzey İlçeleri Dairesi Başkanlığı"

"Kuzey ilçelerinde altyapı çalışmaları ne zaman başlayacak?","['kuzey ilçeleri altyapı']","Kuzey İlçeleri Dairesi Başkanlığı"

"Ulaşım güzergahları hakkında bilgi almak istiyorum.","['ulaşım güzergahları']","Ulaşım Dairesi Başkanlığı"

"Toplu taşıma araçlarında yaşanan problemler hakkında şikayette bulunmak istiyorum.","['toplu taşıma']","Ulaşım Dairesi Başkanlığı"

"Ulaşım hizmetlerinin iyileştirilmesi için önerilerde bulunmak istiyorum.","['ulaşım hizmetleri']","Ulaşım Dairesi Başkanlığı"

"Yol kaplama çalışmaları hakkında bilgi almak istiyorum.","['yol kaplama']","Yol Yapım Bakım ve Onarım Dairesi Başkanlığı"

"Kötü durumdaki yolların onarılması için ne zaman çalışma yapılacak?","['yol onarımı']","Yol Yapım Bakım ve Onarım Dairesi Başkanlığı"

"Yol yapım projelerinin durumu hakkında bilgi almak istiyorum.","['yol yapım projeleri']","Yol Yapım Bakım ve Onarım Dairesi Başkanlığı"

"Yol bakım çalışmalarının planı nedir, hangi yollar öncelikli olarak ele alınacak?","['yol bakım']","Yol Yapım Bakım ve Onarım Dairesi Başkanlığı"

"Belediye duyuruları ve basın bültenlerini nasıl alabilirim?","['duyurular','basın bültenleri']","Basın Yayın ve Halkla İlişkiler Dairesi Başkanlığı"

"Basın toplantıları hakkında bilgi almak istiyorum, nasıl katılabilirim?","['basın toplantıları']","Basın Yayın ve Halkla İlişkiler Dairesi Başkanlığı"

"Belediye etkinlikleri hakkında medya aracılığıyla bilgi almak istiyorum.","['medya']","Basın Yayın ve Halkla İlişkiler Dairesi Başkanlığı"

"Halkla ilişkiler stratejileri hakkında bilgi talep ediyorum.","['halkla ilişkiler']","Basın Yayın ve Halkla İlişkiler Dairesi Başkanlığı"

"Geri dönüşüm programlarına nasıl katılabilirim?","['geri dönüşüm']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Sıfır atık projeleri hakkında bilgi almak istiyorum.","['sıfır atık projeleri']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Çevre kirliliği ile ilgili yaşadığım sorunları bildirmek istiyorum.","['çevre kirliliği']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Geri dönüşüm kutularının yerleri hakkında bilgi almak istiyorum.","['geri dönüşüm kutuları']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Sosyal hizmetler ve yardım başvuruları hakkında bilgi almak istiyorum.","['sosyal hizmetler']","Kadın Aile ve Sosyal Hizmetler Dairesi Başkanlığı"

"Kadın ve aile sağlığı ile ilgili sağlık hizmetleri hakkında bilgi almak istiyorum.","['aile sağlığı']","Kadın Aile ve Sosyal Hizmetler Dairesi Başkanlığı"

"Sosyal yardım ve destek programlarına başvurmak istiyorum.","['sosyal yardım']","Kadın Aile ve Sosyal Hizmetler Dairesi Başkanlığı"

"Tarım projeleri ve destekleri hakkında bilgi almak istiyorum.","['tarım projeleri']","Tarımsal Hizmetler ve Muhtarlıklar Dairesi Başkanlığı"

"Muhtarlık hizmetleri ile ilgili başvurular nasıl yapılır?","['muhtarlık hizmetleri']","Tarımsal Hizmetler ve Muhtarlıklar Dairesi Başkanlığı"

"Muhtarlık hizmetlerinden yararlanmak için gerekli adımlar nelerdir?","['muhtarlık hizmetleri']","Tarımsal Hizmetler ve Muhtarlıklar Dairesi Başkanlığı"

"Tarım arazilerinin bakımı ve destekleri hakkında bilgi almak istiyorum.","['tarım arazileri']","Tarımsal Hizmetler ve Muhtarlıklar Dairesi Başkanlığı"

"Belediyenin destek hizmetleri hakkında bilgi almak istiyorum.","['destek hizmetleri']","Destek Hizmetleri Dairesi Başkanlığı"

"Destek hizmetleri için başvuru nasıl yapılır, süreç nedir?","['destek hizmetleri']","Destek Hizmetleri Dairesi Başkanlığı"

"Uluslararası işbirlikleri ve projeler hakkında bilgi almak istiyorum.","['uluslararası işbirlikleri','uluslararası projeler']","Dış İlişkiler Dairesi Başkanlığı"

"Dış ilişkiler ve yabancı ziyaretçiler hakkında bilgi almak istiyorum.","['dış ilişkiler','yabancı ziyaretçiler']","Dış İlişkiler Dairesi Başkanlığı"

"Uluslararası toplantılar ve etkinlikler hakkında bilgi almak istiyorum.","['uluslararası toplantılar']","Dış İlişkiler Dairesi Başkanlığı"

"Dış ilişkilerle ilgili genel bilgi ve süreçler hakkında bilgi almak istiyorum.","['dış ilişkiler']","Dış İlişkiler Dairesi Başkanlığı"

"Belediyede eğitim programları ve kurslar hakkında bilgi almak istiyorum.","['eğitim projeleri']","İnsan Kaynakları ve Eğitim Dairesi Başkanlığı"

"İnsan kaynakları politikaları ve işe alım süreçleri hakkında bilgi almak istiyorum.","['insan kaynakları']","İnsan Kaynakları ve Eğitim Dairesi Başkanlığı"

"Kariyer geliştirme fırsatları hakkında bilgi almak istiyorum.","['kariyer geliştirme']","İnsan Kaynakları ve Eğitim Dairesi Başkanlığı"

"İnsan kaynakları departmanıyla ilgili sorunlarımı bildirmek istiyorum.","['insan kaynakları departmanı']","İnsan Kaynakları ve Eğitim Dairesi Başkanlığı"

"Belediye kültürel etkinlikleri hakkında bilgi almak istiyorum.","['kültürel etkinlikler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Gençlik projeleri ve spor etkinlikleri hakkında detaylı bilgi almak istiyorum.","['gençlik projeleri','spor etkinlikleri']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Kültürel projeler ve başvurular hakkında bilgi almak istiyorum.","['kültürel projeler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Spor etkinliklerine nasıl katılabilirim?","['spor etkinlikleri']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Belediyenin resmi web sitesi sık sık erişime kapalı veya yavaş çalışıyor. Özellikle e-devlet entegrasyonlarında sorunlar yaşanıyor.","['belediye web site']","Bilgi İşlem Dairesi Başkanlığı"

"E-posta sisteminde sürekli sorunlar yaşanıyor. Gönderilen mailler alıcıya ulaşmıyor veya gelen kutular spam mesajlarla doluyor.","['e-posta sistemi']","Bilgi İşlem Dairesi Başkanlığı"

"Belediye hizmetleriyle ilgili online başvurularımızı yaptığımız sistemler kullanışsız ve karmaşık.","['online başvuru']","Bilgi İşlem Dairesi Başkanlığı"

"Belediye binalarındaki bilgisayar ve yazıcıların teknik sorunları nedeniyle işlerimiz aksıyor.","['teknik sorunlar']","Bilgi İşlem Dairesi Başkanlığı"

"Belediyenin sosyal medya hesaplarında paylaşılan bilgiler güncel değil ve vatandaşları doğru yönlendirmiyor.","['belediye sosyal medya hesabı']","Bilgi İşlem Dairesi Başkanlığı"

"Afet durumlarında vatandaşlara gerekli bilgilendirme ve destek sağlanamıyor.","['afet durumları']","İtfaiye ve Afet İşleri Dairesi Başkanlığı"

"Afetlere hazırlık konusunda yeterli tatbikatlar yapılmıyor.","['afet']","İtfaiye ve Afet İşleri Dairesi Başkanlığı"

"Sel deprem gibi doğal afetlere karşı alınan önlemler yetersiz.","['doğal afet']","İtfaiye ve Afet İşleri Dairesi Başkanlığı"

"Ödeme işlemleri sırasında uzun kuyruklar oluşuyor ayrıca online ödeme sistemleri yetersiz.","['ödeme işlemleri','online ödeme sistemleri']","Mali Hizmetler Dairesi Başkanlığı"

"Belediye bütçesinin şeffaf bir şekilde vatandaşlara açıklanması gerekiyor.","['belediye bütçesi']","Mali Hizmetler Dairesi Başkanlığı"

"Belediye kaynaklarının etkin kullanımı konusunda şüphelerimiz var.","['belediye kaynakları']","Mali Hizmetler Dairesi Başkanlığı"

"Belediye gelirlerinin nereye harcandığı konusunda detaylı bilgi alamıyoruz.","['belediye gelirleri']","Mali Hizmetler Dairesi Başkanlığı"

"Sokak satıcıları ve ruhsatsız iş yerleri konusunda yeterli denetim yapılmıyor.","['sokak satıcıları','ruhsatsız iş yerleri']","Zabıta Dairesi Başkanlığı"

"Gürültü kirliliği ve çevreye rahatsızlık veren durumlar hakkında yapılan şikayetlere gereken ilgi gösterilmiyor.","['gürültü kirliliği']","Zabıta Dairesi Başkanlığı"

"Hayvan hakları konusunda hassasiyet gösterilmiyor ve sokak hayvanları yeterince korunmuyor.","['hayvan hakları']","Zabıta Dairesi Başkanlığı"

"Park ve bahçelerde izinsiz araç parkı yapanlara ceza kesilmiyor.","['izinsiz araç park']","Zabıta Dairesi Başkanlığı"

"Şehir merkezindeki bazı bölgelerde güvenlik zafiyeti yaşanıyor.","['güvenlik']","Zabıta Dairesi Başkanlığı"

"Şehirdeki yolların bakım ve onarımı düzenli yapılmıyor çukurlar ve bozukluklar nedeniyle kazalar meydana geliyor.","['çukur','yol bakım','onarım']","Fen İşleri Dairesi Başkanlığı"

"Kaldırımların durumu kötü bu yüzden engelli vatandaşların ulaşımı zorlaşıyor.","['kaldırım']","Fen İşleri Dairesi Başkanlığı"

"Şehir aydınlatmalarında sık sık arızalar oluyor bazı sokaklar karanlık kalıyor.","['şehir aydınlatmaları']","Fen İşleri Dairesi Başkanlığı"

"Yağmur yağdığında bazı bölgelerde su birikintileri oluşuyor ve ulaşım güçleşiyor.","['su birikintileri']","Fen İşleri Dairesi Başkanlığı"

"Evimizin önündeki çöp konteyneri taştı, kötü koku yayılıyor.","['çöp konteyneri','koku']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Parklardaki köpek dışkıları temizlenmiyor, hijyen koşulları kötü.","['hijyen','park']","Park ve Bahçeler Müdürlüğü"

"Dere yatakları temizlenmediği için su birikintileri oluşuyor ve sivrisinek üremesi artıyor.","['su birikintileri']", "Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Havadaki kirlilik seviyesi arttı, solunum sorunları yaşıyoruz.","['hava kirliliği']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Toplu taşıma araçları sefer saatlerine uymuyor, sürekli gecikmeler oluyor.","['toplu taşıma sefer saatleri']", "Ulaşım Dairesi Başkanlığı"

"Otobüs durakları yetersiz ve bakımsız, bekleme alanları yok.","['otobüs durakları']", "Ulaşım Dairesi Başkanlığı"

"Trafik işaretleri yetersiz, kazalar sıkça meydana geliyor.","['trafik işaretleri','kazalar']","Ulaşım Dairesi Başkanlığı"

"Bisiklet yolları eksik, bisikletlilerin güvenliği sağlanmıyor.","['bisiklet yolları']","Ulaşım Dairesi Başkanlığı"

"Kanalizasyon sisteminde sık sık tıkanıklık oluyor, kötü kokular yayılıyor.","['kanalizasyon']", "Fen İşleri Dairesi Başkanlığı"

"Sokak lambaları sık sık yanıp sönüyor veya hiç yanmıyor.","['sokak lambaları']", "Fen İşleri Dairesi Başkanlığı"

"Yaşlılar için yeterli sosyal etkinlik düzenlenmiyor.","['sosyal etkinlik']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Çocuk oyun parkları yetersiz ve bakımsız.","['çocuk oyun parkları']","Park ve Bahçeler Müdürlüğü"

"Engelli vatandaşlar için erişilebilirlik sorunları yaşanıyor.","['engelli vatandaşlar']","Fen İşleri Dairesi Başkanlığı"

"Kütüphanelerin çalışma saatleri yetersiz.","['kütüphaneler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Yağmur yağdığında yollar çamur deryasına dönüyor, asfaltlama yapılmalı.","['yol','asfaltlama']","Fen İşleri Dairesi Başkanlığı"

"Mahallemizde sürekli elektrik kesintileri yaşanıyor, yetkililerden çözüm bekliyoruz.","['elektrik kesintisi']","Fen İşleri Dairesi Başkanlığı"

"Okullara giden yollar güvenli değil, çocuklarımızın güvenliği tehlikede.","['okul yolları']","Fen İşleri Dairesi Başkanlığı"

"Mahallemizde yeni yapılan binalar çok katlı, imar planına uygun değil.","['imar planı']","İmar ve Şehircilik Dairesi Başkanlığı"

"Şehirdeki toplu taşıma araçlarında klima çalışmıyor, yazın aşırı sıcak oluyor.","['toplu taşıma']","Ulaşım Dairesi Başkanlığı"

"Şehir merkezindeki sokak lambaları yanmıyor, geceleri karanlıkta kalıyoruz.","['sokak lambaları']","Fen İşleri Dairesi Başkanlığı"

"Çocuk parklarındaki oyun alanları bakımsız ve tehlikeli, yenilenmeli.","['çocuk parkı']","Park ve Bahçeler Müdürlüğü"

"Belediye otobüsleri eski ve konforsuz, seferler artırılmalı.","['otobüsler']","Ulaşım Dairesi Başkanlığı"

"Belediyenin eğitim hizmetleri yetersiz, daha fazla kurs açılmalı.","['eğitim hizmetleri','kurs']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Şehirde bisiklet yolları yok, bisiklet kullanmak tehlikeli.","['bisiklet yolu']","Ulaşım Dairesi Başkanlığı"

"Engelli vatandaşlar için yeterli hizmet sunulmuyor.","['engelli hizmetleri']","Kadın Aile ve Sosyal Hizmetler Dairesi Başkanlığı"

"Mahallemizde su şebekesi sık sık arızalanıyor, su kesintisi yaşıyoruz.","['su şebekesi','su kesintisi']","Fen İşleri Dairesi Başkanlığı"

"Mahallemizdeki sokak köpekleri saldırgan, güvenliğimiz tehlikede.","['sokak köpekleri']","Zabıta Dairesi Başkanlığı"

"Parklarda yeterli aydınlatma yok, akşamları güvensiz hissediyoruz.","['park aydınlatma']","Park ve Bahçeler Müdürlüğü"

"Şehirdeki yeşil alanlar korunmalı ve artırılmalı, betonlaşma artıyor.","['yeşil alan']","Park ve Bahçeler Müdürlüğü"

"Sokaklarımızda yeterli çöp konteyneri yok, çöpler birikiyor.","['çöp konteyneri','çöpler']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Kanalizasyon sistemi yetersiz, yağmurlarda taşkın oluyor.","['kanalizasyon','taşkın']","Fen İşleri Dairesi Başkanlığı"

"Belediyenin internet sitesi güncel değil, bilgiye erişim zor.","['internet sitesi']","Bilgi İşlem Dairesi Başkanlığı"

"Mahallemizde spor tesisleri yetersiz, gençler için alanlar oluşturulmalı.","['spor tesisleri']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Belediye hizmetleri hakkında yeterli bilgilendirme yapılmıyor, iletişim eksikliği var.","['belediye hizmetleri','iletişim']","Basın Yayın ve Halkla İlişkiler Dairesi Başkanlığı"

"Sokaklarda hız limitlerine uyulmuyor, trafik güvenliği tehlikede.","['trafik güvenliği']","Ulaşım Dairesi Başkanlığı"

"Mahallemizde otopark alanı yok, araçlarımızı park edecek yer bulamıyoruz.","['otopark']","Ulaşım Dairesi Başkanlığı"

"Belediyenin kültürel etkinlikleri yetersiz, daha fazla etkinlik yapılmalı.","['kültürel etkinlikler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Şehirdeki spor salonları ve tesisleri bakımsız, yenilenmeli.","['spor salonları']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Yağmur suyu drenaj sistemleri yetersiz, caddeler su altında kalıyor.","['drenaj sistemi']","Fen İşleri Dairesi Başkanlığı"

"Belediye otobüslerinin sefer saatleri düzensiz, daha sık olmalı.","['otobüs seferleri']","Ulaşım Dairesi Başkanlığı"

"Mahallemizde sokaklar çok dar, araçlar geçemiyor, genişletme yapılmalı.","['sokak genişletme']","Fen İşleri Dairesi Başkanlığı"

"Parklardaki çim alanlar bakımsız ve kurumuş, düzenli sulama yapılmalı.","['çim bakımı','sulama']","Park ve Bahçeler Müdürlüğü"

